"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.834646729E2,6.500824697E1,2.549701941E1,1.320863372E1,3.299999952E0,3.012999878E2,3.790092468E0,2.500000000E0
1.844652639E2,6.500826269E1,2.549695911E1,1.346399517E1,3.309999943E0,3.030000000E2,3.790092468E0,2.500000000E0
1.854655686E2,6.500827905E1,2.549689598E1,1.370751538E1,3.450000048E0,3.022999878E2,3.790092468E0,2.500000000E0
1.864652234E2,6.500829466E1,2.549683349E1,1.381767408E1,3.460000038E0,3.015000000E2,3.790092468E0,2.500000000E0
1.874653267E2,6.500831104E1,2.549677193E1,1.412479301E1,3.420000076E0,3.030000000E2,3.790092468E0,2.500000000E0
1.884646888E2,6.500832867E1,2.549670888E1,1.383510964E1,3.470000029E0,3.032999878E2,3.790092468E0,2.500000000E0
1.894646559E2,6.500834596E1,2.549664534E1,1.402162264E1,3.440000057E0,3.023999939E2,3.790092468E0,2.500000000E0
1.904652460E2,6.500836304E1,2.549658349E1,1.406836533E1,3.380000114E0,3.033999939E2,3.790092468E0,2.500000000E0
1.914654915E2,6.500838098E1,2.549651861E1,1.398601814E1,3.539999962E0,3.022999878E2,3.790092468E0,2.500000000E0
1.924645885E2,6.500839777E1,2.549645419E1,1.432969679E1,3.470000029E0,3.016000061E2,3.790092468E0,2.500000000E0
